"出展メーカー","タイトル","HP","HPの要約","会社名","ドメイン","ロゴURL"
"Connected GARMIN","GARMIN MARINE 日本正規輸入代理店｜G-FISHING","https://www.g-fishing.com/","","株式会社G-FISHING 今井正博","g-fishing","https://shop13-makeshop.akamaized.net/shopimages/garmin/logo.jpg"
"カロス","COROS | GPSウォッチ＆アスリート向けトレーニングツール","https://jp.coros.com/","","","jp","https://static.coros.com/coros-v2/images/99acd6878f2169e7664daa88d40104e5.png"

"マリンウェザー海快晴","マリンウェザー海快晴（うみかいせい） - 海専門の気象情報サイト","https://www.umikaisei.jp/","","","umikaisei","https://www.umikaisei.jp/common/img/shared/logo_wh.png"
"fishbank遊漁船予約フォーム","【完全無料】釣り船・遊漁船専用のネット予約フォーム「fishbank・フィッシュバンク」","https://fishbank.jp/","","メジャークラフト株式会社","fishbank","https://fishbank.jp/wp-content/themes/fishbank_portal/assets/images/lp/logo.png"

"総合学園ヒューマンアカデミー大阪心斎橋校","【総合学園ヒューマンアカデミー】専門の学校","https://ha.athuman.com/","","","ha","https://ha.athuman.com/assets/img/catchphrase.svg"
"TAKUMI TOPWATER 日本の部品屋","金具、金属パーツの事ならお任せください！部品製作メーカーの杉原産業株式会社","https://www.sugihara-s.co.jp/","","金具、金属パーツの事ならお任せください！部品製作メーカーの杉原産業株式会社","sugihara-s",""
"ハイアール ジャパン セールス株式会社","","https://www.haier.com/jp/","","","haier",""

"Ocean Leather","Ocean Leather","https://oceanleatherofficial.com/","","","oceanleatherofficial","https://oceanleatherofficial.com/cdn/shop/files/Ocean_Leather_3_c070c598-4f96-4801-9dd8-0d46cd89aaf4_200x.png?v=1673416477"
"Ocean Leather","Ocean Leather (正規販売店)","https://ko-yo-freeze.co.jp/ocean-leather/","","興洋フリーズ株式会社TOP","ko-yo-freeze","https://ko-yo-freeze.co.jp/ocean-leather/img/logo3.png"
"INNO","INNO（イノー）ルーフキャリア＆ルーフボックス","https://www.innoracks.com/jp/","","","innoracks","https://www.innoracks.com/jp/common_top/img/inno_header-inno_bk.svg"
"INNO","Fishing - CAR MATE MFG.CO.,LTD.","https://lps.carmate.co.jp/global-products/car-racks/fishing/","","","lps","https://lps.carmate.co.jp/global-products/common/img/logo.png"
"VISOA","ホーム | 槌屋ヤック株式会社","https://www.yacjp.co.jp/","","ホーム | 槌屋ヤック株式会社","yacjp","https://www.yacjp.co.jp/assets/img/common/ic_main_logo.png"
"プラスライン","plusline | ジムニー＆エブリイ＆ハスラー専門店「プラスライン」","https://www.plusline-inc.com/","","","plusline-inc","https://www.plusline-inc.com/common/images/top_logo.png?20230707"
"魚臭撃退　Tane.maki","ブログ | タネ・マキ公式","https://takoball.com/","","株式会社タネ・マキ","takoball","https://takoball.com/wp-content/uploads/2022/04/tanemaki_yoko_50.png?1772801376"
"紙屋街","株式会社ヤマサンイトウ｜掛け紙で真心を掛ける","https://yamasan-itou.co.jp/","","株式会社ヤマサンイトウ｜掛け紙で真心を掛ける","yamasan-itou","https://yamasan-itou.co.jp/wp/wp-content/themes/yamasan-itou/assets/images/common/logo@2x.png"
"braaa","【公式】braaa（ブラー）by Veniya Co,.Ltd.","https://braaa.jp/","","","braaa","https://braaa.jp/theme-image/svg/braaa-logo-black.svg"
"CUSTOM HIACE N.TART","株式会社 N.T ART | 摂津市のカスタムハイエース専門店","https://ntart-osaka.com/","","株式会社 N.T ART | 摂津市のカスタムハイエース専門店","ntart-osaka","https://ntart-osaka.com/wp-content/uploads/2024/03/head-logo25.png"


"BOZHOU CROWD","","","","","",""
"ライザス","","","","","",""
"鹿田工房","","","","","",""
"Mr.釣りどれん","","","","","",""
"B・P・Z","","","","","",""

"第一精工／DAIICHISEIKO","Checking Your Browser","http://www.daiichiseiko.com","","","daiichiseiko",""
"RPS BATTERY CO.,LTD.","RPS Battery Co.,Ltd","http://www.rps-battery.cn","","","rps-battery","http://www.rps-battery.cn/Uploads/Ot/5f9153f574888.png"
"ORIZ","ORIZ","https://oriz.co.jp/","","","oriz","https://oriz.co.jp/images/logo-02.svg"
"NISSIN・ARES","(株)宇崎日新（NISSIN）| 磯・船・渓流などの釣り竿の製造販売　アレス（ARES）| エギング・アジング・ジギング　ルアーロッドの製造・販売","http://www.u-nissin.co.jp/","","","u-nissin","http://www.u-nissin.co.jp/wp-content/themes/def/img/logo.svg?20241012"
"556glass（KOKORO）","鯖江から偏光サングラスを世界へ！ - 556glass","https://556glass.com/","","","556glass",""
"Gruppo DP","Artificial and synthetic fibres for fishing | Gruppo DP","https://www.gruppodp.com/","","","gruppodp","https://www.gruppodp.com/wp-content/uploads/2018/11/GruppoDP.png"
"KastKing","KastKing Freshwater & Saltwater Fishing Gear","https://kastking.com/","","","kastking","https://kastking.com/cdn/shop/files/KastKing_Logo-White_200x.png?v=1738674439"
"neoSTYLE","Vertical Pro - Vertical Pro - EMT","https://www.emt-pro.jp","","お知らせに、株式会社EMTのSNSアカウント情報を更新しました。","emt-pro","https://image.jimcdn.com/app/cms/image/transf/dimension=186x10000:format=png/path/s5bd01b2d529f1082/image/ibf29904822cab879/version/1742366940/image.png"
"シヤチハタ株式会社","シヤチハタ株式会社 | Shachihata Inc.","https://www.shachihata.co.jp/","","シヤチハタ株式会社 | Shachihata Inc.","shachihata","https://www.shachihata.co.jp/assets_rn/images/common/logo.svg"
"GEOSANGKOREA CO.,LTD","","https://www.geosangkorea.com/","","","geosangkorea","https://www.geosangkorea.com/shop/data/images/intro/do_logo.png"
"江西科納実業有限公司","Kona Hook, Sea Fishing Hook, Lure Hook - KONA","https://www.konacn.com","","","konacn","https://cdn.globalso.com/konacn/e7e1f7051.png"
"OCEANSUN TACKLE","大连欧申渔具有限公司","http://www.ocean-sun.cn/","","","ocean-sun",""
"KCE","","https://www.kce-lure.com/","","","kce-lure",""
"Left","Left - Arts and Craft technology","https://leftlures.com/","","","leftlures",""
"松浦テグス","松浦テグス＜公式サイト＞｜釣具の総合卸・企画・製造｜大阪市｜","https://matsuurategusu.co.jp/","","明治32(1899)年創業の松浦テグス株式会社は、釣糸(テグス)の黎明期には釣人の「より強く」「より細く」を追求し、","matsuurategusu","https://matsuurategusu.co.jp/files/libs/1233/202410041442376408.svg?1728020557"
"TIZENER　タイゼンナ","釣り具・アウトドア用品の販売・製造 株式会社ユミナガ産業","http://www.yuminaga-co.jp/","","釣り具・アウトドア用品の販売・製造 株式会社ユミナガ産業","yuminaga-co","http://www.yuminaga-co.jp/_p/acre/29393/images/pc/hg3eHz766KMyMDNX6qcewrT2.png"
"(株)土肥富／odz／MARUTO","株式会社土肥富｜釣り針（釣針）","http://www.dohitomi.com","","株式会社土肥富｜釣り針（釣針）","dohitomi","https://dohitomi.com/wp-content/themes/dohitomi/img/logo.svg"
"Xiamen Enson Outdoor","Xiamen Enson Outdoor Products Co., Ltd","https://www.ensonoutdoors.com/","","","ensonoutdoors","https://www.ensonoutdoors.com/img/tel.png"
"ルミカ","株式会社ルミカ","https://www.lumica.co.jp","","株式会社ルミカ","lumica","https://www.lumica.co.jp/wp-content/themes/lumica/img/logo_01.svg"
"（株）ヤマイ・ステキ針","会社概要 | 株式会社ヤマイ","https://yamai-suteki.com/company/","","会社概要 | 株式会社ヤマイ","yamai-suteki","https://yamai-suteki.com/wp-content/themes/yamai/images/company_logo.png"
"シーザーフリップⅡ （株）ササマタ","","https://ssmt.jp/index.html","","","ssmt",""
